1929 ou 1989 ?	1929年还是1989年?
Son budget annuel total, y compris les contributions supplémentaires des Etats membres pour les opérations humanitaires et de maintien, est d'environ 50 milliards de dollars, soit 0,06% du revenu mondial – une fraction des besoins réels.	其年度总收入，包括成员国为维和和人道主义行到所缴纳的附加会费，大约在500亿美元，或世界总收入的0.06 % — —远远比不上真实需求。
Les états membres de l'ONU adoptent à juste titre des mesures audacieuses telles que les objectifs de développement durable et l'Accord de Paris sur le climat, mais n’ont pas les moyens financiers pour les mettre en œuvre.	联合国成员国正确地采取了果断的措施，如可持续发展目标（SDG）和巴黎气候协定，但缺乏实施这些措施的金融手段。
Même si le budget de l'ONU est faible, le gouvernement américain attaque régulièrement l'institution pour être démesurée et trop chère.	虽然联合国预算规模很小，但美国政府总是攻击联合国机构臃肿，铺张浪费。
Les États-Unis paient environ 22% du budget ordinaire annuel de 2,7 de milliards de dollars, soit environ 600 millions de dollars par an. Néanmoins, cela représente moins de 2 dollars par Américain!	美国大约缴纳了其27亿美元常规预算的22 % ， 或每年6亿美元，但平均到每个美国人头上，还不到2美元！
Si on ajoute les paiements au titre du maintien de la paix et les autres dépenses, la contribution annuelle totale des États-Unis est d’environ 10 milliards de dollars, soit environ 30 dollars par habitant.	加上维和和其他支出，美国每年缴纳的联合国会费大约在100亿美元，或人均30美元。
En étant si avares, les Etats-Unis ne se rendent pas service.	如此吝啬让美国砸了自己的脚。
Les coûts finaux pour les États-Unis, et le monde, liés au sous-investissement chronique dans les besoins mondiaux pourraient atteindre des dizaines de billions de dollars.	全球投资需求长期得不到满足给美国以及世界所造成的最终成本可能高达数十万亿美元。
En plus des paiements au-travers de l'ONU, les pays à revenu élevé font des paiements directs à destination des pays les plus pauvres sous forme d'aide publique au développement.	除了通过联合国实现的支出，高收入国家还以官方发展援助（ODA）的形式直接向穷国支付。
L'APD nette combinée totalise environ 150 milliards de dollars par an, soit 0,31% du revenu des pays donateurs, à comparer au niveau de 0,7% du revenu longtemps promis pour l'APD.	每年的总ODA净值大约在1,500亿美元，或出资国总收入的0.3 % ； 而ODA长期承诺占出资国总收入的比例为0.7 % 。
Étant donné la faiblesse de ces transferts globaux, l'extrême pauvreté persiste dans un monde d'abondance.	由于这些全球支付规模过小，极端贫困仍然遍布全球。
De plus, les promesses de longue date des pays riches de fournir aux pays pauvres au moins 100 milliards de dollars par an pour financer des dépenses liées au changement climatique sont restées lettre morte jusqu’à ce jour.	而富裕国家早就做出的每年向穷国至少提供1,000亿美元的气候相关融资的承诺也始终没有兑现。
Le monde doit réfléchir sérieusement à la manière de faire correspondre le financement multilatéral aux besoins multilatéraux.	世界必须认真地让多边资金与多变需要相匹配。
L'UE devrait rapidement doubler le budget de l'UE à 2% des revenus de l'UE, et plus au fil du temps.	欧盟应该迅速将欧盟预算提高到欧盟收入的2 % ， 并随着时间进一步增加。
De même, le monde devrait consacrer au moins 2% du revenu mondial aux biens et services publics mondiaux pour mettre fin à l'extrême pauvreté, lutter contre le changement climatique, protéger la nature, sauver des millions de personnes démunies de décès prématurés, assurer la scolarisation de tous les enfants et maintenir la paix par l'ONU.	类似地，世界应该至少将2%的世界收入用于全球公共品和服务以消除极端贫困，遏制气候变化，保护自然，拯救数百万赤贫者免于早亡，确保所有儿童有学可上，以及通过联合国保持和平。
Le temps est venu de penser à de nouvelles taxes mondiales – sur les revenus des multinationales, les comptes offshore, les transactions financières internationales, la richesse nette des milliardaires, la pollution – de manière à financer un monde interconnecté en péril.	应该考虑全球税收 — — 公司所得、离岸账户、国际金融交易、亿万富翁净财富、污染等 — — 来为承受压力的联动世界买单。
Avec de la créativité, de la coopération et de la prévoyance, nous pouvons mobiliser de nouveaux revenus pour transformer notre grande richesse mondiale en bien-être durable pour tous.	如果我们能拿出创造力、合作和远见，就能动员新收入，让巨大的全球财富转变为可持续的全民福利。
	
Les vulnérabilités du système financier	全球金融体系健康状况如何？
LONDRES – Depuis quelques semaines, des deux cotés de l'Atlantique les dirigeants politiques affirment que le système financier est équilibré et stable.	伦敦—最近几周以来，大西洋两岸的决策者纷纷重申金融系统可靠而稳定。
La Réserve fédérale américaine (Fed) a annoncé en juin que toutes les banques américaines ont réussi leur test de stress annuel.	美联储在6月份宣布，所有美国银行都通过了其最新的年度压力测试。
Et la présidente de la Fed, Janet Yellen, pense que la prochaine crise financière n'est pas pour demain.	美联储主席耶伦现在认为 ， “ 我们这辈子”都不会遭遇新的金融危机了。
Quant au Conseil de stabilité financière (FSB, Financial Stability Board) - qui veille à ce que les régulations financières à travers le monde respectent les normes internationales - il a écrit dans une lettre adressée aux dirigeants du G20 que les "formes toxiques des banques du secteur financier non régulé" sont en train d'être éliminées.	与此同时，负责监督全球监管措施，确保它们符合全球一致的标准的金融稳定委员会（FSB）在一封致G20领导人的信中宣布 ， “ 有毒害的影子银行”正在被清理。
Autrement dit, les mesures prises pour renforcer le système financier international ont incontestablement une certaine efficacité, notamment en ce qui concerne le renforcement des réserves en capitaux et le redressement du bilan de parties importantes du système bancaire.	简言之，支持全球金体系的持续努力显然收到了成效，特别是在增强资本缓冲和清理银行系统的最重要部分的资产负债表方面。
Les dernières garanties apportées par les dirigeants politiques rassurent ceux d'entre nous qui estiment que les mesures destinées à réduire le risque financier systémique sont insuffisantes et qu'il en est de même de celles consacrées à mettre les banques véritablement au service de l'économie réelle et à éviter qu'elles ne constituent une menace pour cette dernière.	决策者最近的信誓旦旦，与我们这些担心降低系统性金融风险，以及确保银行服务于实体经济而不是威胁实体经济福祉的措施做得仍然不够的人，形成了冲突。
Mais il est trop tôt pour affirmer que le systéme financier dans son ensemble est sain.	但现在就认定金融体系已经身体无恙为时过早。
Dans certains pays européens, les mesures destinées à consolider le secteur bancaire sont encore très insuffisantes.	在欧洲的一些国家，巩固银行部门的措施仍然远远落后于现实。
Et surtout les risques financiers continuent à migrer vers les secteurs non-bancaires.	更重要的是，金融风险仍然在向非银行活动蔓延。
